state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
IL,200,8,5800,,,800,3400,,,1400,5400,6000,,7200
IL,200,9,5000,,,1200,4800,,,1000,4200,6400,,7400
IL,200,10,6400,,,1000,3200,,,1000,3800,6000,,8600
IL,200,11,6800,,,1200,3400,,,1000,3600,5800,,8200
IL,200,12,6800,,,1400,3600,,,1400,3600,6600,,6600
IL,200,13,4400,,,1000,3600,,,1000,5800,7200,,7000
IL,200,14,5600,,,800,4600,,,1000,5000,6400,,6600
IL,200,15,6800,,,600,4800,,,800,4200,6200,,6600
IL,200,16,4800,,,1200,6000,,,1000,3200,6400,,7400
IL,200,17,5600,,,600,3600,,,1200,4400,5600,,9000
IL,200,18,7000,,,1600,2200,,,1200,4000,6800,,7200
IL,200,19,6600,,,400,3400,,,1600,5000,5400,,7600
IL,200,20,6400,,,600,4200,,,1200,3800,7400,,6400
IL,500,1,4000,,,1000,4500,,,1500,3500,6000,,9500
IL,500,2,4500,,,1500,4000,,,1500,6000,4500,,8000
IL,500,3,6500,,,500,4000,,,500,4000,5500,,9000
IL,500,4,5500,,,1000,5000,,,500,6500,4000,,7500
IL,500,5,5000,,,,2500,,,,4500,8000,,10000
IL,500,6,6000,,,1000,4000,,,2000,2500,5000,,9500
IL,500,7,6500,,,,4000,,,500,4000,7500,,7500
IL,500,8,6000,,,1000,4000,,,,5000,6500,,7500
IL,500,9,8500,,,1000,4500,,,500,4500,5500,,5500
IL,500,10,7500,,,1000,1500,,,1500,5500,5500,,7500
IL,500,11,4500,,,500,7000,,,,4000,6500,,7500
IL,500,12,5500,,,3000,4000,,,2500,5000,4500,,5500
IL,500,13,6000,,,1000,4500,,,2000,3500,6000,,7000
IL,500,14,5000,,,,4000,,,500,6500,3500,,10500
IL,500,15,7000,,,1000,3500,,,1500,3000,7000,,7000
IL,500,16,5000,,,1000,4000,,,1500,4500,7500,,6500
IL,500,17,7500,,,500,2500,,,500,5500,5500,,8000
IL,500,18,6500,,,1000,5500,,,500,3500,4500,,8500
IL,500,19,4000,,,1000,3000,,,1000,4000,8000,,9000
IL,500,20,6500,,,500,4000,,,1500,3000,5000,,9500
IL,1000,1,1000,,,,9000,,,,6000,5000,,9000
IL,1000,2,3000,,,1000,6000,,,,8000,6000,,6000
IL,1000,3,6000,,,3000,6000,,,1000,3000,5000,,6000
IL,1000,4,7000,,,1000,5000,,,1000,3000,8000,,5000
IL,1000,5,6000,,,,5000,,,,3000,8000,,8000
IL,1000,6,4000,,,2000,5000,,,1000,3000,13000,,2000
IL,1000,7,6000,,,,5000,,,,5000,6000,,8000
IL,1000,8,7000,,,4000,4000,,,2000,2000,6000,,5000
IL,1000,9,7000,,,1000,6000,,,2000,4000,4000,,6000
IL,1000,10,5000,,,3000,8000,,,2000,2000,3000,,7000
IL,1000,11,6000,,,2000,2000,,,,5000,6000,,9000
IL,1000,12,3000,,,1000,3000,,,2000,3000,5000,,13000
IL,1000,13,5000,,,2000,3000,,,4000,4000,2000,,10000
IL,1000,14,8000,,,,5000,,,1000,5000,8000,,3000
IL,1000,15,8000,,,,3000,,,,6000,7000,,6000
IL,1000,16,3000,,,2000,4000,,,,2000,11000,,8000
IL,1000,17,7000,,,2000,2000,,,,4000,8000,,7000
IL,1000,18,6000,,,,4000,,,1000,4000,8000,,7000
IL,1000,19,3000,,,3000,5000,,,1000,6000,5000,,7000
IL,1000,20,5000,,,,6000,,,,9000,4000,,6000
CO,1,0,1126,,,810,,2187,,434,6773,5091,,5887
CO,100,1,1400,,,900,,1100,,900,6400,6100,,5500
CO,100,2,1400,,,1400,,2000,,100,6300,5400,,5700
CO,100,3,1500,,,900,,2000,,400,6300,5400,,5800
